라운드,누적 채택 액션 수,참여 행위자 수,연결 수,한 그룹으로 이어진 비율,실제 연결 비율,평균 경로 깊이,엣지 성장률,활성 행위자 성장률,상위 20% 행위자 점유율,가장 많이 연결된 1명의 비중,상위 3명 점유율,행위자 쏠림 HHI,행위자 쏠림 Gini,상위 1개 연결 점유율,상위 3개 연결 점유율,연결 쏠림 HHI,연결 쏠림 Gini,신규 행위자 수,신규 연결 수,직접 연결 중심 ID,직접 연결 중심 이름,직접 연결 중심 점수,중간 연결 중심 ID,중간 연결 중심 이름,중간 연결 중심 점수,간접 영향 중심 ID,간접 영향 중심 이름,간접 영향 중심 점수
1,3,2,1,0.25,0.017857142857142856,1.0,,,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,2,1,founder_ceo,창업자 CEO,1.0,,,,lead_investor_partner,리드 투자사 파트너,0.20903942711395773
2,6,4,2,0.25,0.03571428571428571,1.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2777777777777778,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,0.16666666666666666,2,1,founder_ceo,창업자 CEO,1.0,,,,lead_investor_partner,리드 투자사 파트너,0.1907213762221036
3,9,4,3,0.25,0.05357142857142857,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2777777777777778,0.16666666666666666,0.5,1.0,0.3888888888888889,0.2222222222222222,0,1,founder_ceo,창업자 CEO,1.0,,,,founder_ceo,창업자 CEO,0.33030186830480374
4,11,4,3,0.25,0.05357142857142857,1.0,0.0,0.0,0.375,0.375,0.875,0.3125,0.25,0.5,1.0,0.375,0.16666666666666666,0,0,founder_ceo,창업자 CEO,1.0,,,,founder_ceo,창업자 CEO,0.33030186830480374
5,14,5,6,0.625,0.10714285714285714,1.0,3.0,1.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,1,3,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
6,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
7,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
8,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
9,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
10,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
11,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
12,14,5,6,0.625,0.10714285714285714,1.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.8214285714285714,0.2602040816326531,0.3,0.35714285714285715,0.7857142857142857,0.2346938775510204,0.3333333333333333,0,0,independent_director,독립 사외이사,3.0,,,,lead_investor_partner,리드 투자사 파트너,0.22193065018960034
