입력 토큰 bin 시작,입력 토큰 bin 끝,출력 토큰 bin 시작,출력 토큰 bin 끝,호출 수,TTFT 표본 수,소요 시간 표본 수,TTFT p90,TTFT p95,TTFT p99,소요 시간 p90,소요 시간 p95,소요 시간 p99
1000,1999,0,999,3,3,3,3.2025462329853327,3.209240407985635,3.214595747985877,18.271588400000002,18.3873192,18.479903840000002
1000,1999,1000,1999,3,3,3,3.566919067001436,3.5931833045033272,3.61419469450484,36.2074132,36.480623599999994,36.69919192
1000,1999,2000,2999,8,8,8,3.553334912494756,3.5747007062484046,3.5917933412513228,59.260027099999995,60.16297355,60.88533071
1000,1999,3000,3999,10,10,10,3.35276630029839,3.4418933376480707,3.5131949675278156,76.9173557,76.92279485,76.92714617
1000,1999,4000,4999,2,2,2,2.657619388093008,2.6578442985424773,2.658024226902053,83.5180099,83.55035345,83.57622829
2000,2999,0,999,4,4,4,4.9373594581120415,4.959339083063242,4.976922783024202,22.5821305,23.15107525,23.60623105
2000,2999,1000,1999,12,12,12,6.0587882704974625,6.259690027199395,6.357999172639975,41.943198100000004,42.925932249999995,43.83233445
2000,2999,2000,2999,16,16,16,4.988880021002842,5.107426885748282,5.225130010745488,59.235134,59.737699750000004,60.91168555
2000,2999,3000,3999,9,9,9,4.485269617009908,4.856764016998931,5.1539595369901505,76.0102144,80.0416832,83.26685823999999
2000,2999,4000,4999,3,3,3,4.359839491394814,4.374806974691455,4.3867809613287685,86.81816579999999,87.0828954,87.29467908
2000,2999,6000,6999,2,2,2,4.466811445626081,4.466901326827065,4.466973231787851,131.7034825,132.02789925,132.28743265
2000,2999,9000,9999,1,1,1,4.478129583003465,4.478129583003465,4.478129583003465,192.613502,192.613502,192.613502
3000,3999,0,999,1,1,1,5.5435433329839725,5.5435433329839725,5.5435433329839725,24.273306,24.273306,24.273306
3000,3999,1000,1999,3,3,3,5.9235325172019655,5.935076675601886,5.944312002321822,35.6687904,36.4273987,37.03428534
3000,3999,2000,2999,5,5,5,6.307558091392275,6.3163779411872385,6.323433821023209,57.123745,57.131175,57.137119
3000,3999,3000,3999,3,3,3,6.036008291796316,6.099045604397543,6.149475454478525,76.7622628,77.7351454,78.51345148
4000,4999,2000,2999,3,3,3,7.724311558401678,7.733742779202293,7.741287755842786,54.9567884,55.033684199999996,55.09520084
4000,4999,3000,3999,1,1,1,7.604064291983377,7.604064291983377,7.604064291983377,87.342175,87.342175,87.342175
5000,5999,1000,1999,1,1,1,8.865705875010462,8.865705875010462,8.865705875010462,45.636546,45.636546,45.636546
5000,5999,2000,2999,2,2,2,9.141089513103362,9.143885173554008,9.146121701914526,60.0143735,60.12383975,60.21141275
5000,5999,3000,3999,2,2,2,8.981791595797404,8.985837047897803,8.989073409578122,86.3693751,86.80948054999999,87.16156491
