라운드,누적 채택 액션 수,참여 행위자 수,연결 수,한 그룹으로 이어진 비율,실제 연결 비율,평균 경로 깊이,엣지 성장률,활성 행위자 성장률,상위 20% 행위자 점유율,가장 많이 연결된 1명의 비중,상위 3명 점유율,행위자 쏠림 HHI,행위자 쏠림 Gini,상위 1개 연결 점유율,상위 3개 연결 점유율,연결 쏠림 HHI,연결 쏠림 Gini,신규 행위자 수,신규 연결 수,직접 연결 중심 ID,직접 연결 중심 이름,직접 연결 중심 점수,중간 연결 중심 ID,중간 연결 중심 이름,중간 연결 중심 점수,간접 영향 중심 ID,간접 영향 중심 이름,간접 영향 중심 점수
1,4,4,6,0.5,0.10714285714285714,1.0,,,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,4,6,founder_ceo,Founder CEO,3.0,,,,founder_ceo,Founder CEO,0.4021731741423938
2,8,5,7,0.625,0.125,1.3,1.0,1.0,0.36363636363636365,0.36363636363636365,0.8636363636363636,0.2768595041322314,0.34545454545454546,0.18181818181818182,0.5454545454545454,0.15702479338842976,0.15584415584415584,1,1,cto_cofounder,Co-founder CTO,4.0,cto_cofounder,Co-founder CTO,0.07142857142857142,cto_cofounder,Co-founder CTO,0.3290705977473003
3,12,5,9,0.625,0.16071428571428573,1.25,2.0,0.0,0.35294117647058826,0.35294117647058826,0.7647058823529411,0.2525951557093426,0.25882352941176473,0.17647058823529413,0.4117647058823529,0.12110726643598617,0.1437908496732026,0,2,cto_cofounder,Co-founder CTO,4.0,cto_cofounder,Co-founder CTO,0.07142857142857142,cto_cofounder,Co-founder CTO,0.38030120578212956
4,16,7,12,0.625,0.21428571428571427,1.3333333333333333,3.0,2.0,0.6086956521739131,0.32608695652173914,0.717391304347826,0.22117202268431,0.38509316770186336,0.17391304347826086,0.43478260869565216,0.10396975425330812,0.2644927536231884,2,3,cto_cofounder,Co-founder CTO,4.0,cto_cofounder,Co-founder CTO,0.07142857142857142,cto_cofounder,Co-founder CTO,0.26324239359060275
5,20,7,12,0.625,0.21428571428571427,1.3333333333333333,0.0,0.0,0.5862068965517241,0.3103448275862069,0.7068965517241379,0.2116527942925089,0.3645320197044335,0.1724137931034483,0.3793103448275862,0.09869203329369798,0.22126436781609196,0,0,cto_cofounder,Co-founder CTO,4.0,cto_cofounder,Co-founder CTO,0.07142857142857142,cto_cofounder,Co-founder CTO,0.26768205744933427
6,24,7,13,0.875,0.23214285714285715,1.6923076923076923,1.0,0.0,0.5694444444444444,0.3055555555555556,0.7083333333333334,0.20563271604938274,0.3531746031746032,0.16666666666666666,0.3888888888888889,0.09722222222222221,0.2692307692307692,0,1,cto_cofounder,Co-founder CTO,4.0,lead_investor_partner,Lead Investor Partner,0.14285714285714285,cto_cofounder,Co-founder CTO,0.3220182013153278
7,28,7,14,0.875,0.25,1.5384615384615385,1.0,0.0,0.5581395348837209,0.3023255813953488,0.686046511627907,0.20146024878312602,0.34219269102990035,0.16279069767441862,0.3953488372093023,0.09356408869659276,0.3073089700996678,0,1,cto_cofounder,Co-founder CTO,4.0,lead_investor_partner,Lead Investor Partner,0.14285714285714285,cto_cofounder,Co-founder CTO,0.3369076278559742
8,32,8,16,1.0,0.2857142857142857,1.5806451612903225,2.0,1.0,0.5510204081632653,0.2857142857142857,0.6836734693877551,0.19387755102040816,0.39285714285714285,0.16326530612244897,0.3673469387755102,0.08871303623490212,0.3482142857142857,1,2,founder_ceo,Founder CEO,5.0,founder_ceo,Founder CEO,0.19047619047619047,cto_cofounder,Co-founder CTO,0.3423111749293625
9,36,8,16,1.0,0.2857142857142857,1.5806451612903225,0.0,0.0,0.5454545454545454,0.2818181818181818,0.6727272727272727,0.19008264462809915,0.38181818181818183,0.16363636363636364,0.38181818181818183,0.08694214876033057,0.33295454545454545,0,0,founder_ceo,Founder CEO,5.0,founder_ceo,Founder CEO,0.19047619047619047,cto_cofounder,Co-founder CTO,0.3466737595604928
10,40,8,16,1.0,0.2857142857142857,1.5806451612903225,0.0,0.0,0.5409836065573771,0.27049180327868855,0.6557377049180327,0.1862402579951626,0.35860655737704916,0.16393442622950818,0.36065573770491804,0.08357968288094597,0.3084016393442623,0,0,founder_ceo,Founder CEO,5.0,founder_ceo,Founder CEO,0.19047619047619047,cto_cofounder,Co-founder CTO,0.34702410405767714
