라운드,누적 채택 액션 수,참여 행위자 수,연결 수,한 그룹으로 이어진 비율,실제 연결 비율,평균 경로 깊이,엣지 성장률,활성 행위자 성장률,상위 20% 행위자 점유율,가장 많이 연결된 1명의 비중,상위 3명 점유율,행위자 쏠림 HHI,행위자 쏠림 Gini,상위 1개 연결 점유율,상위 3개 연결 점유율,연결 쏠림 HHI,연결 쏠림 Gini,신규 행위자 수,신규 연결 수,직접 연결 중심 ID,직접 연결 중심 이름,직접 연결 중심 점수,중간 연결 중심 ID,중간 연결 중심 이름,중간 연결 중심 점수,간접 영향 중심 ID,간접 영향 중심 이름,간접 영향 중심 점수
1,4,4,4,0.25,0.07142857142857142,1.0,,,0.25,0.25,0.75,0.25,0.0,0.25,0.75,0.25,0.0,4,4,tech_journalist,테크 전문 기자,1.0,,,,tech_journalist,테크 전문 기자,0.21739072481756389
2,8,5,6,0.625,0.10714285714285714,1.6666666666666667,2.0,1.0,0.3125,0.3125,0.75,0.234375,0.225,0.25,0.625,0.1875,0.16666666666666666,1,2,founder_ceo,창업자 CEO,3.0,founder_ceo,창업자 CEO,0.11904761904761904,tech_journalist,테크 전문 기자,0.3616657785619032
3,12,6,8,0.75,0.14285714285714285,1.8,2.0,1.0,0.625,0.3333333333333333,0.7916666666666666,0.24305555555555555,0.375,0.16666666666666666,0.5,0.1388888888888889,0.16666666666666666,1,2,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.23809523809523808,tech_journalist,테크 전문 기자,0.349162575117205
4,16,7,9,0.875,0.16071428571428573,1.9166666666666667,1.0,1.0,0.625,0.34375,0.78125,0.240234375,0.44642857142857145,0.1875,0.5,0.1328125,0.2361111111111111,1,1,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.2857142857142857,tech_journalist,테크 전문 기자,0.3523295879744375
5,20,7,9,0.875,0.16071428571428573,1.9166666666666667,0.0,0.0,0.625,0.35,0.775,0.24,0.45,0.2,0.55,0.14,0.2777777777777778,0,0,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.2857142857142857,tech_journalist,테크 전문 기자,0.3714986680996827
6,24,7,10,0.875,0.17857142857142858,1.8333333333333333,1.0,0.0,0.625,0.3333333333333333,0.7708333333333334,0.23697916666666669,0.44047619047619047,0.20833333333333334,0.5,0.13194444444444445,0.30833333333333335,0,1,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.26190476190476186,tech_journalist,테크 전문 기자,0.37569263118729546
7,28,7,11,0.875,0.19642857142857142,2.0,1.0,0.0,0.6206896551724138,0.3275862068965517,0.7586206896551724,0.23483947681331746,0.42857142857142855,0.20689655172413793,0.5172413793103449,0.13198573127229488,0.36363636363636365,0,1,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.3571428571428571,tech_journalist,테크 전문 기자,0.3695454489046494
8,32,7,11,0.875,0.19642857142857142,2.0,0.0,0.0,0.5909090909090909,0.3181818181818182,0.7575757575757576,0.2258953168044077,0.4199134199134199,0.18181818181818182,0.48484848484848486,0.12396694214876033,0.3305785123966942,0,0,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.3571428571428571,tech_journalist,테크 전문 기자,0.3452221333173631
9,36,7,11,0.875,0.19642857142857142,2.0,0.0,0.0,0.5675675675675675,0.32432432432432434,0.7567567567567568,0.2202337472607743,0.4092664092664093,0.1891891891891892,0.4594594594594595,0.11760409057706356,0.29975429975429974,0,0,founder_ceo,창업자 CEO,4.0,founder_ceo,창업자 CEO,0.38095238095238093,tech_journalist,테크 전문 기자,0.3217164990889922
10,40,8,12,1.0,0.21428571428571427,2.0285714285714285,1.0,1.0,0.5476190476190477,0.3333333333333333,0.75,0.215702947845805,0.46130952380952384,0.19047619047619047,0.42857142857142855,0.10884353741496597,0.2976190476190476,1,1,founder_ceo,창업자 CEO,5.0,founder_ceo,창업자 CEO,0.47619047619047616,tech_journalist,테크 전문 기자,0.29636963959225243
