입력 토큰 bin 시작,입력 토큰 bin 끝,출력 토큰 bin 시작,출력 토큰 bin 끝,호출 수,TTFT 표본 수,소요 시간 표본 수,TTFT p90,TTFT p95,TTFT p99,소요 시간 p90,소요 시간 p95,소요 시간 p99
1000,1999,0,999,24,24,24,29.598499500012256,30.071579010692947,30.29790024933667,117.9305697,120.1675797,122.61686159
1000,1999,1000,1999,12,12,12,27.178742679214338,29.226029812506745,31.200357662496973,206.1031284,212.04143595,215.62742319
2000,2999,0,999,68,68,68,41.60509211239114,41.77158325625642,42.76244185352872,130.83577400000001,133.7371642,135.89541736
2000,2999,1000,1999,74,74,74,40.41042800420546,41.293380364699985,41.7090025863584,202.2919022,216.39643725,227.23000335999998
2000,2999,2000,2999,10,10,10,36.77160737948143,37.78786639823811,38.60087361324346,297.70968919999996,307.71263659999994,315.71499452
2000,2999,4000,4999,2,2,2,33.94352480389644,33.952970130945324,33.960526392584434,455.3653954,456.1884412,456.84687784
3000,3999,0,999,41,41,41,48.76369275001343,49.17741037500673,50.09647345019621,138.474714,141.3315,143.1736876
3000,3999,1000,1999,19,19,19,49.15344755781698,49.19976089999254,49.20053688001295,201.7767994,220.33807849999997,231.32171810000003
3000,3999,2000,2999,2,2,2,48.87745620410715,48.923564227057796,48.96045064541831,254.73567590000002,254.94522295000002,255.11286059000003
4000,4999,0,999,3,3,3,74.7891104422044,75.04741551310289,75.25405956982169,160.1855948,161.2951139,162.18272918
4000,4999,1000,1999,1,1,1,68.33649874996627,68.33649874996627,68.33649874996627,186.987446,186.987446,186.987446
4000,4999,2000,2999,2,2,2,77.44208879578218,77.80571339788003,78.0966130795583,359.19136929999996,360.93915764999997,362.33738832999995
5000,5999,1000,1999,1,1,1,70.61224112499622,70.61224112499622,70.61224112499622,244.103351,244.103351,244.103351
5000,5999,2000,2999,8,8,8,73.25406402052613,73.58852336427663,73.85609083927702,356.2583478,356.8261864,357.28045728
5000,5999,3000,3999,5,5,5,73.52808460858651,73.67341565878014,73.78968049893506,432.473255,446.30546499999997,457.371233
5000,5999,4000,4999,1,1,1,72.4301747920108,72.4301747920108,72.4301747920108,541.85154,541.85154,541.85154
